woman_id,caseid,v001,LATNUM,LONGNUM,nearest_drought_lon,nearest_drought_lat,drought_months_class,drought_class_label,drought_match_distance_deg,drought_match_distance_km,analysis_weight,ipv12m_any_binary,ipv12m_emotional_binary,ipv12m_physical_less_sev_binary,ipv12m_physical_severe_binary,ipv12m_sexual_binary,sexual_violence_any_binary,sexual_violence_recent_binary,nonpartner_physical_12m_binary,prev_partner_physical_12m_binary,prev_partner_sexual_12m_binary,prev_partner_emotional_12m_binary
39,       3 297  2,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,5.255372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
40,       3 311  2,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,1.380649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0
41,       3 318  1,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,1.380649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
42,       3 335  2,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,1.380649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
43,       4   7  2,4,-5.455590604,15.06141125,15.25,-5.25,1.0,>=1 drought month,0.2789860445965839,31.056726484491715,0.330898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
44,       4  32  2,4,-5.455590604,15.06141125,15.25,-5.25,1.0,>=1 drought month,0.2789860445965839,31.056726484491715,0.330898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
45,       4  79  2,4,-5.455590604,15.06141125,15.25,-5.25,1.0,>=1 drought month,0.2789860445965839,31.056726484491715,0.330898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
46,       4 157  1,4,-5.455590604,15.06141125,15.25,-5.25,1.0,>=1 drought month,0.2789860445965839,31.056726484491715,0.330898,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0
47,       4 172  3,4,-5.455590604,15.06141125,15.25,-5.25,1.0,>=1 drought month,0.2789860445965839,31.056726484491715,0.330898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
48,       4 226  1,4,-5.455590604,15.06141125,15.25,-5.25,1.0,>=1 drought month,0.2789860445965839,31.056726484491715,0.330898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
49,       4 255  2,4,-5.455590604,15.06141125,15.25,-5.25,1.0,>=1 drought month,0.2789860445965839,31.056726484491715,0.330898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
50,       4 312  3,4,-5.455590604,15.06141125,15.25,-5.25,1.0,>=1 drought month,0.2789860445965839,31.056726484491715,0.330898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
51,       5  38  1,5,-3.365125231,29.11033469,29.25,-3.25,1.0,>=1 drought month,0.18099783874455488,20.148679409043847,0.292929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
52,       5  61  1,5,-3.365125231,29.11033469,29.25,-3.25,1.0,>=1 drought month,0.18099783874455488,20.148679409043847,0.592316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
53,       5 113  3,5,-3.365125231,29.11033469,29.25,-3.25,1.0,>=1 drought month,0.18099783874455488,20.148679409043847,0.292929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0
54,       5 149  2,5,-3.365125231,29.11033469,29.25,-3.25,1.0,>=1 drought month,0.18099783874455488,20.148679409043847,0.292929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
55,       5 191  2,5,-3.365125231,29.11033469,29.25,-3.25,1.0,>=1 drought month,0.18099783874455488,20.148679409043847,0.292929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
56,       5 204  7,5,-3.365125231,29.11033469,29.25,-3.25,1.0,>=1 drought month,0.18099783874455488,20.148679409043847,0.875213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
57,       5 219  2,5,-3.365125231,29.11033469,29.25,-3.25,1.0,>=1 drought month,0.18099783874455488,20.148679409043847,0.292929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
58,       5 228  2,5,-3.365125231,29.11033469,29.25,-3.25,1.0,>=1 drought month,0.18099783874455488,20.148679409043847,0.292929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
59,       5 250  2,5,-3.365125231,29.11033469,29.25,-3.25,1.0,>=1 drought month,0.18099783874455488,20.148679409043847,0.292929,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,       5 257  2,5,-3.365125231,29.11033469,29.25,-3.25,1.0,>=1 drought month,0.18099783874455488,20.148679409043847,0.292929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
61,       5 318  1,5,-3.365125231,29.11033469,29.25,-3.25,1.0,>=1 drought month,0.18099783874455488,20.148679409043847,0.292929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
62,       5 332  1,5,-3.365125231,29.11033469,29.25,-3.25,1.0,>=1 drought month,0.18099783874455488,20.148679409043847,0.292929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
63,       6  92  2,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,1.213635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
64,       6  94  2,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,1.213635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
65,       6 137  2,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,1.213635,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0
66,       6 164  2,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,1.213635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
67,       6 181  3,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,2.406873,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
68,       6 192  4,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,2.406873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
69,       6 195  2,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,1.213635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
70,       6 211  2,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,1.213635,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,       6 214  3,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,1.213635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
72,       6 229  2,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,1.213635,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,       6 292  1,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,1.213635,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
74,       6 312  2,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,1.213635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
75,       6 313  2,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,2.406873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
76,       6 327  2,6,-10.27621601,23.47798695,23.25,-10.25,0.0,0 drought months,0.22948927763758775,25.546746386616267,1.213635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
77,       7  58  2,7,-6.043548458,26.93301588,26.75,-6.25,0.0,0 drought months,0.2758931886189869,30.712429757065618,0.320462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
78,       7  66  1,7,-6.043548458,26.93301588,26.75,-6.25,0.0,0 drought months,0.2758931886189869,30.712429757065618,0.111568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
79,       7  72  2,7,-6.043548458,26.93301588,26.75,-6.25,0.0,0 drought months,0.2758931886189869,30.712429757065618,0.111568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
80,       7  93  2,7,-6.043548458,26.93301588,26.75,-6.25,0.0,0 drought months,0.2758931886189869,30.712429757065618,0.111568,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
81,       7 117  2,7,-6.043548458,26.93301588,26.75,-6.25,0.0,0 drought months,0.2758931886189869,30.712429757065618,0.111568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
82,       7 127  2,7,-6.043548458,26.93301588,26.75,-6.25,0.0,0 drought months,0.2758931886189869,30.712429757065618,0.111568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
83,       7 145  3,7,-6.043548458,26.93301588,26.75,-6.25,0.0,0 drought months,0.2758931886189869,30.712429757065618,0.111568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
