bin_center_km,ci_high,ci_low,curve_mean,d111,min_conflict_dist_km,n_in_bin,row_type
,,,,0.0,7.780556229317279,,point
,,,,1.0,7.780556229317279,,point
,,,,0.0,7.780556229317279,,point
,,,,0.0,7.780556229317279,,point
,,,,0.0,7.780556229317279,,point
,,,,0.0,7.780556229317279,,point
,,,,0.0,7.780556229317279,,point
,,,,0.0,7.780556229317279,,point
,,,,0.0,20.925212715749726,,point
,,,,0.0,20.925212715749726,,point
,,,,0.0,20.925212715749726,,point
,,,,0.0,20.925212715749726,,point
,,,,0.0,20.925212715749726,,point
,,,,0.0,20.925212715749726,,point
,,,,0.0,20.925212715749726,,point
,,,,0.0,20.925212715749726,,point
,,,,0.0,20.925212715749726,,point
,,,,0.0,20.925212715749726,,point
,,,,0.0,19.41247451198282,,point
,,,,0.0,19.41247451198282,,point
,,,,0.0,19.41247451198282,,point
,,,,0.0,19.41247451198282,,point
,,,,0.0,19.41247451198282,,point
,,,,0.0,19.41247451198282,,point
,,,,0.0,19.41247451198282,,point
,,,,0.0,19.41247451198282,,point
,,,,1.0,19.41247451198282,,point
,,,,0.0,19.41247451198282,,point
,,,,1.0,19.41247451198282,,point
,,,,0.0,19.41247451198282,,point
,,,,0.0,28.386239477861373,,point
,,,,0.0,28.386239477861373,,point
,,,,0.0,28.386239477861373,,point
,,,,1.0,28.386239477861373,,point
,,,,0.0,28.386239477861373,,point
,,,,1.0,28.386239477861373,,point
,,,,0.0,28.386239477861373,,point
,,,,0.0,28.386239477861373,,point
,,,,0.0,28.386239477861373,,point
,,,,0.0,28.386239477861373,,point
,,,,0.0,28.386239477861373,,point
,,,,1.0,17.08291752481673,,point
,,,,0.0,17.08291752481673,,point
,,,,0.0,17.08291752481673,,point
,,,,1.0,17.08291752481673,,point
,,,,1.0,17.08291752481673,,point
,,,,0.0,17.08291752481673,,point
,,,,1.0,17.08291752481673,,point
,,,,0.0,17.08291752481673,,point
,,,,1.0,17.08291752481673,,point
,,,,0.0,17.08291752481673,,point
,,,,0.0,17.08291752481673,,point
,,,,0.0,17.08291752481673,,point
,,,,0.0,38.77217149355546,,point
,,,,0.0,38.77217149355546,,point
,,,,0.0,38.77217149355546,,point
,,,,0.0,38.77217149355546,,point
,,,,1.0,38.77217149355546,,point
,,,,0.0,38.77217149355546,,point
,,,,0.0,38.77217149355546,,point
,,,,0.0,38.77217149355546,,point
,,,,1.0,38.77217149355546,,point
,,,,0.0,38.77217149355546,,point
,,,,0.0,137.54775114235602,,point
