variable_name,description
D115XH,NA - Doctor: Person who has ever physically hur 9247
D115XI,NA - CS: Person who has ever physically hurt re 9248
D115XJ,NA - CS: Person who has ever physically hurt re 9249
D115XK,NA - CS: Person who has ever physically hurt re 9250
D116,NA - Person who hurt respondent most often
D117A,Frequency of being hit in last 12 months by oth 9253
D118A,Husband/partner: Person who hurt respondent dur 9254
D118B,Mother: Person who hurt respondent during a pre 9255
D118C,Father/step-father: Person who hurt respondent
D118D,Daughter/son: Person who hurt respondent during 9257
D118E,NA - Son alone: Person who hurt respondent duri 9258
D118F,Sister/brother: Person who hurt respondent duri 9259
D118G,Other relative: Person who hurt respondent duri 9260
D118H,NA - Other female family: Person who hurt respo 9261
D118I,NA - Other male family: Person who hurt respond 9262
D118J,Former husband/partner: Person who hurt respond 9263
D118K,Current boyfriend: Person who hurt respondent d 9264
D118L,Former boyfriend: Person who hurt respondent du 9265
D118M,NA - Step-mother: Person who hurt respondent du 9266
D118N,NA - Step-father: Person who hurt respondent du 9267
D118O,Mother-in-law: Person who hurt respondent durin 9268
D118P,Father-in-law: Person who hurt respondent durin 9269
D118Q,Other in-law: Person who hurt respondent during 9270
D118R,NA - Other female/male in-law: Person who hurt
D118S,NA - Female friend: Person who hurt respondent
D118T,NA - Male friend: Person who hurt respondent du 9273
D118U,NA - Neighbor: Person who hurt respondent durin 9274
D118V,Teacher: Person who hurt respondent during a pr 9275
D118W,Employer: Person who hurt respondent during a p 9276
D118X,Other: Person who hurt respondent during a preg 9277
D118Y,Respondent was not hurt by anyone during a preg 9278
D118XA,NA - Stranger: Person who hurt respondent durin 9279
D118XB,NA - Other female in-law/family: Person who hur 9280
D118XC,NA - Other male in-law/family: Person who hurt
D118XD,Schoolmate/classmate: Person who hurt responden 9282
D118XE,Police: Person who hurt respondent during a pre 9283
D118XF,NA - Religious leader: Person who hurt responde 9284
D118XG,NA - Lawyer: Person who hurt respondent during
D118XH,NA - Doctor: Person who hurt respondent during
D118XI,NA - CS: Person who hurt respondent during a pr 9287
D118XJ,NA - CS: Person who hurt respondent during a pr 9288
D118XK,NA - CS: Person who hurt respondent during a pr 9289
D119A,NA - Husband/partner: Person respondent went to 9290
D119B,NA - Mother: Person respondent went to seek hel 9291
D119C,NA - Father: Person respondent went to seek hel 9292
D119D,NA - Daughter: Person respondent went to seek h 9293
D119E,NA - Son: Person respondent went to seek help
D119F,NA - Sister: Person respondent went to seek hel 9295
D119G,NA - Brother: Person respondent went to seek he 9296
D119H,Own family: Person respondent went to seek help 9297
D119I,Husband/partner family: Person respondent went
D119J,Current/former husband/partner: Person responde 9299
D119K,Current/former boyfriend: Person respondent wen 9300
D119L,NA - Former boyfriend alone: Person respondent
D119M,NA - Step-mother: Person respondent went to see 9302
D119N,NA - Step-father: Person respondent went to see 9303
D119O,NA - Mother-in-law: Person respondent went to s 9304
D119P,NA - Father-in-law: Person respondent went to s 9305
D119Q,NA - Other female in-law: Person respondent wen 9306
D119R,NA - Other male in-law: Person respondent went
D119S,NA - Female friend: Person respondent went to s 9308
D119T,NA - Male friend: Person respondent went to see 9309
D119U,Neighbor: Person respondent went to seek help
D119V,NA - Teacher: Person respondent went to seek he 9311
D119W,NA - Employer: Person respondent went to seek h 9312
D119X,Other: Person respondent went to seek help
D119Y,Respondent did not seek help from anyone
D119XA,NA - Stranger: Person respondent went to seek h 9315
D119XB,Social service organization: Person respondent
D119XC,NA - CS: Person respondent went to seek help
D119XD,Friend: Person respondent went to seek help
D119XE,Police: Person respondent went to seek help
D119XF,Religious leader: Person respondent went to see 9320
D119XG,Lawyer: Person respondent went to seek help
D119XH,Doctor: Person respondent went to seek help
D119XI,NA - CS: Person respondent went to seek help
D119XJ,NA - CS: Person respondent went to seek help
D119XK,NA - CS: Person respondent went to seek help
D120,NA - Main reason never sought help
D121,Respondent's father ever beat her mother
D122A,Interview interrupted: husband's presence
D122B,Interview interrupted: other adult male's prese 9330
D122C,Interview interrupted: adult female's presence
D123,NA - First sex was wanted or forced
D124,Ever forced to have sex by anyone other than hu 9333
D125,Ever forced to perform unwanted sexual acts
D126,Age at first forced sexual act
D127,NA - Person who forced respondent into first se 9337
D127A,Father/step-father: person who forced to have s 9339
D127B,Brother/step-brother: person who forced to have 9340
D127C,Other relative: person who forced to have sexua 9341
D127D,Current boyfriend: person who forced to have se 9342
D127E,Former boyfriend: person who forced to have sex 9343
D127F,In-law: person who forced to have sexual interc 9344
D127G,Own friend/acquaintance: person who forced to h 9345
D127H,Family friend: person who forced to have sexual 9346
D127I,Teacher: person who forced to have sexual inter 9347
D127J,Schoolmate/classmate: person who forced to have 9348
D127K,Employer/someone at work: person who forced to
D127L,Police/soldier: person who forced to have sexua 9350
D127M,Priest/religious leader: person who forced to h 9351
D127N,Stranger: person who forced to have sexual inte 9352
D127O,NA - CS: person who forced to have sexual inter 9353
D127P,NA - CS: person who forced to have sexual inter 9354
D127Q,NA - CS: person who forced to have sexual inter 9355
D127R,NA - CS: person who forced to have sexual inter 9356
D127X,Other: person who forced to have sexual interco 9357
D128,Ever told anyone else about violence
D129,Respondent afraid of husband/partner most of th 9359
D130A,"Previous husband: ever hit, slap, kick or physi 9360"
D130B,Previous husband: physically forced to have sex 9361
D130C,"Previous husband: humiliate, threaten to hurt,"
CHD01,Ever had blood pressure measured by doctor othe 9363
CHD02,Ever been told that you have high blood pressur 9364
CHD03,In past 12 months have been told that you have
CHD04,Have been prescribed medication to control high 9366
CHD05,Are you taking medication to control your blood 9367
CHD06,Ever had blood sugar measured by doctor other h 9368
CHD07,Ever been told that you have high blood sugar o 9369
CHD08,In past 12 months have been told that you have
CHD09,Have been prescribed medication to control high 9371
CHD10,Are you taking medication to control your blood 9372
CHD11,Ever been told by a doctor or other healthcare
CHD12,Are you receiving any treatment for your heart
CHD13,Ever been told by a doctor or other healthcare
CHD14,Are you receiving any treatment for your lung d 9376
CHD15,Ever been told by a doctor or other healthcare
CHD16,Are you receiving any treatment for cancer or t 9378
CHD17,Ever been told by a doctor or other healthcare
CHD18,NA - Ever been told by a doctor or other health 9380
CHD19,Are you receiving any treatment for depression
CHD20,Ever been told by a doctor or other healthcare
CHD21,Are you receiving any treatment for arthritis
CHD22,Ever been told by a doctor or other healthcare
CHD23,Are you receiving any treatment for other chron 9385
CHD24,Ever heard of cervical cancer
CHD25,Ever heard of any test for cervical cancer
CHD27,Ever been tested by a doctor or other healthcar 9388
CHD28,Years since last cervical cancer test
CHD29,Result of last cervical cancer
CHD30,Did receive treatment for cervix
CHD31,NA - Did receive treatment the same or differen 9393
CHD32,NA - Did have any follow up visits after treatm 9394
CHD33,NA - Did have any follow up visits because of t 9395
MTH1,"NA - Last 2 weeks: feeling nervous, anxious, on 9396"
MTH2,NA - Last 2 weeks: not able to stop/control wor 9397
MTH3,NA - Last 2 weeks: worrying about things
MTH4,NA - Last 2 weeks: trouble relaxing
MTH5,NA - Last 2 weeks: restless and hard to sit sti 9400
MTH6,NA - Last 2 weeks: become easily annoyed/irrita 9401
MTH7,NA - Last 2 weeks: feeling afraid as something
MTH8,NA - Last 2 weeks: little interest/pleasure in
MTH9,"NA - Last 2 weeks: feeling down, depressed or h 9404"
MTH10,NA - Last 2 weeks: trouble falling asleep or sl 9405
MTH11,NA - Last 2 weeks: feeling tired or having litt 9406
MTH12,NA - Last 2 weeks: poor appetite or overeating
MTH13,"NA - Last 2 weeks: feeling bad about yourself,"
MTH14,NA - Last 2 weeks: trouble concentrating in rea 9409
MTH15,NA - Last 2 weeks: moving/speaking slowly or mo 9410
MTH16,NA - Last 2 weeks: thoughts of better off dead
MTH17,NA - Ever tried to seek help for the things you 9412
MTH18A,NA - Person sought help from: doctor/medical pe 9413
MTH18B,NA - Person sought help from: social service or 9414
MTH18C,NA - Person sought help from: social worker
MTH18D,NA - Person sought help from: community health
MTH18E,NA - Person sought help from: religious leader
MTH18F,NA - Person sought help from: current/former sp 9418
MTH18G,NA - Person sought help from: other family memb 9419
MTH18H,NA - Person sought help from: friend
MTH18I,NA - Person sought help from: neighbor
MTH18J,NA - Person sought help from: CS
MTH18K,NA - Person sought help from: CS
MTH18L,NA - Person sought help from: CS
MTH18M,NA - Person sought help from: CS
MTH18N,NA - Person sought help from: CS
MTH18O,NA - Person sought help from: CS
MTH18P,NA - Person sought help from: CS
MTH18X,NA - Person sought help from: other
MTH19,NA - Ever been told by a doctor/health care wor 9430
MTH20,NA - Ever been told by a doctor/health care wor 9431
MTH21,NA - Last 2 weeks took medication prescribed by 9432
MTH22,NA - PHQ score
MTH23,NA - Referral based on PHQ score
MTH24,NA - GAD score
FI1,Currently experience constant leakage of urine
FI2,Have ever experienced a problem of leakage of u 9439
FI3,Have ever heard of the problem of leakage of ur 9440
FI4,Did the leakage problem start after delivery of 9441
FI5,Did the leakage problem start after a normal la 9442
FI6,What do you think caused the leakage problem
FI7,How many days after what caused the problem did 9444
FI8,Have you sought treatment for this condition
FI9A,Reason treatment was not sought: don't know can 9447
FI9B,Reason treatment was not sought: don't know whe 9448
FI9C,Reason treatment was not sought: too expensive
FI9D,Reason treatment was not sought: too far
FI9E,Reason treatment was not sought: poor quality o 9451
FI9F,Reason treatment was not sought: could not get
FI9G,Reason treatment was not sought: embarrassment
FI9H,Reason treatment was not sought: problem disapp 9454
FI9I,NA - Reason treatment was not sought: CS
FI9J,NA - Reason treatment was not sought: CS
FI9K,NA - Reason treatment was not sought: CS
FI9L,NA - Reason treatment was not sought: CS
FI9X,Reason treatment was not sought: other
FI10,Person whom treatment was last sought
FI11,Did have an operation to fix the leakage proble 9461
FI12,Did the treatment stop or reduce the leakage co 9462
S109A,Reason moved to this location
S816A,Knows the law allows certain contraceptive meth 9464
S820A,Use birth control method without informing part 9465
S820B,Out of 20 women of the same age and lifestyle a 9466
S820C,Out of 20 women of the same age and lifestyle a 9468
S1004A,Reduce risk of getting HIV: Only use blood that 9470
S1009A,Would be willing to have sex with their husband 9471
S1436D,Domestic violence interview interrupted: child
IDX94,Index to Birth History
IDX94P,Index to Pregnancy History
S415O,Antenatal care: Private mobile clinic (also inc 9497
IDX95,Index to Birth History
S509VAA,Has received Yellow Fever vaccine
SD509VAA,Yellow Fever vaccine Day
SM509VAA,Yellow Fever vaccine Month
SY509VAA,Yellow Fever vaccine Year
IDX96,Index to Birth History
S605AA,Self Medication
S605AB,At growth monitoring follow up (Consultation pr 9575
S605AC,Home visit
S605AD,Supplementation campaign
S605AX,Other occasion
S606AA,Self Medication
S606AB,At SPC
S606AC,Home visit
S606AD,Supplementation campaign
S606AX,Other occasion
S615C,Given combination zinc and ORS in packet
