variable_name,description
V3A08E,Reason not using: subfecund/infecund
V3A08F,Reason not using: postpartum amenorrheic
V3A08G,Reason not using: breastfeeding
V3A08H,Reason not using: fatalistic
V3A08I,Reason not using: respondent opposed
V3A08J,Reason not using: husband/partner opposed
V3A08K,Reason not using: others opposed
V3A08L,Reason not using: religious prohibition
V3A08M,Reason not using: knows no method
V3A08N,Reason not using: knows no source
V3A08O,NA - Reason not using: health concerns
V3A08P,Reason not using: other side effects
V3A08Q,Reason not using: lack of access/too far
V3A08R,Reason not using: costs too much
V3A08S,Reason not using: inconvenient to use
V3A08T,Reason not using: interferes with body's proces 2827
V3A08U,Reason not using: preferred method not availabl 2828
V3A08V,Reason not using: no method available
V3A08W,Reason not using: changes in menstrual bleeding 2830
V3A08AA,Reason not using: methods could cause infertili 2831
V3A08AB,NA - Reason not using: CS
V3A08AC,NA - Reason not using: CS
V3A08AD,NA - Reason not using: CS
V3A08AE,NA - Reason not using: CS
V3A08AF,NA - Reason not using: CS
V3A08X,Reason not using: other
V3A08Z,Reason not using: don't know
V3A09A,NA - How many pill cycles did get last time
V3A09B,NA - How many condoms did get last time
V3A10,Probe for respondent/partner sterilized
V3A11,Type of injectable based on picture observation 2846
V3A12,Person who injected last time
V3A13,Used emergency contraception in past 12 months
V3A14,Could switch method if wanted/needed
MIDX,Index to Birth History
MIDXP,Index to Pregnancy History
M1,Number of tetanus injections before birth
M1A,Number of tetanus injections before pregnancy
M1B,NA - Month of last tetanus injection before pre 2874
M1C,NA - Year of last tetanus injection before preg 2886
M1D,Years ago received last tetanus injection befor 2910
M1E,Last tetanus injection before pregnancy (CMC)
M2A,Prenatal: doctor
M2B,Prenatal: Nurse/midwife
M2C,NA - Prenatal: CS health professional
M2D,NA - Prenatal: CS health professional
M2E,NA - Prenatal: CS health professional
M2F,NA - Prenatal: CS health professional
M2G,Prenatal: Traditional birth attendant
M2H,Prenatal: Commun. Health agent/Field agent
M2I,NA - Prenatal: CS other person
M2J,NA - Prenatal: CS other person
M2K,Prenatal: other
M2L,NA - Prenatal: CS other
M2M,NA - Prenatal: CS other
M2N,Prenatal: no one
M3A,Assistance: doctor
M3B,Assistance: Nurse/midwife
M3C,NA - Assistance: CS health professional
M3D,NA - Assistance: CS health professional
M3E,NA - Assistance: CS health professional
M3F,NA - Assistance: CS health professional
M3G,Assistance: Traditional birth attendant
M3H,Assistance:Commun. Health/Field agent
M3I,Assistance: Companion of choice
M3J,Assistance: Friend/relative
M3K,Assistance: other
M3L,NA - Assistance: CS other
M3M,NA - Assistance: CS other
M3N,Assistance: No one
M4,Duration of breastfeeding
M5,Months of breastfeeding
M6,Duration of amenorrhea
M7,Months of amenorrhea
M8,Duration of abstinence
M9,Months of abstinence
M10,Wanted pregnancy when became pregnant
M11,Desired time would have waited
M13,Timing of 1st antenatal check (months)
M13A,Timing of 1st antenatal check (original)
M14,Number of antenatal visits during pregnancy
M15,Place of delivery
M17,Delivery by caesarean section
M17A,NA - Timing on decision for caesarean section
M18,Size of child at birth
M19,Birth weight in kilograms (3 decimals)
M19A,Weight at birth/recall
M27,NA - Flag for breastfeeding
M28,NA - Flag for amenorrhea
M29,NA - Flag for abstinence
M34,When child put to breast
M35,NA - Number of times breastfed during previous
M36,NA - Number of times breastfed during previous
M38,Drank from bottle with nipple yesterday/last ni 3372
M39A,"Did eat any solid, semi-solid or soft foods yes 3378"
M39,"Number of times ate solid, semi-solid or soft f 3384"
M42A,NA - During pregnancy: weighed
M42B,NA - During pregnancy: height measured
M42C,During pregnancy: blood pressure taken
M42D,During pregnancy: urine sample taken
M42E,During pregnancy: blood sample taken
M42F,During pregnancy: listen to baby's heartbeat
M42G,During pregnancy: talk about foods to eat
M42H,During pregnancy: talk about breastfeeding
M42I,During pregnancy: ask about vaginal bleeding
M42J,NA - During pregnancy: talk about when baby is
M42K,NA - During pregnancy: pay attention to baby mo 3450
M42L,During pregnancy: Received tetanus vaccine
M42M,NA - During pregnancy: CS
M42N,NA - During pregnancy: CS
